nestbox,tag,tag2,rfid,date,band_number,ringing_age,sex
Ha136,,,989001026344773,2021-06-09T00:00:00Z,GG38634,1,
Ha136,,,989001026344513,2021-06-09T00:00:00Z,GG38635,1,
Ha136,,,989001026344761,2021-06-09T00:00:00Z,GG38636,1,
Ha136,,,989001026344812,2021-06-09T00:00:00Z,GG38637,1,
Ha136,,,989001026344487,2021-06-09T00:00:00Z,GG38638,1,
Hn2,,,989001026344458,2021-06-09T00:00:00Z,GG38639,1,
Hn2,,,989001026344791,2021-06-09T00:00:00Z,GG38640,1,
Hn2,,,989001026344489,2021-06-09T00:00:00Z,GG38641,1,
Hn2,,,989001026344512,2021-06-09T00:00:00Z,GG38642,1,
Hn2,,,989001026344784,2021-06-09T00:00:00Z,GG38643,1,
Hn2,,,989001026344790,2021-06-09T00:00:00Z,GG38644,1,
Hn2,,,989001031452658,2021-06-09T00:00:00Z,GG38645,1,
Ha245,,,989001026344800,2021-06-10T00:00:00Z,GG38646,1,
Ha245,,,989001026344779,2021-06-10T00:00:00Z,GG38647,1,
Ha245,,,989001026344524,2021-06-10T00:00:00Z,GG38648,1,
Ha219,,,989001026344770,2021-06-10T00:00:00Z,GG38649,1,
Ha219,,,989001026344454,2021-06-10T00:00:00Z,GG38650,1,
Ha219,,,989001026344494,2021-06-10T00:00:00Z,GG38651,1,
Ha219,,,989001026344733,2021-06-10T00:00:00Z,GG38652,1,
Ha219,,,989001026344809,2021-06-10T00:00:00Z,GG38653,1,
Ha219,,,989001026344820,2021-06-10T00:00:00Z,GG38654,1,
Ha137,,,989001031452671,2021-06-13T00:00:00Z,GG38655,1,
